year,state_county,yrly_new_props,cur_props,.dec_2000_total_occupied,.dec_2000_total_renter_occupied,.dec_2000_total_vacant,.dec_2000_total_pop_occupied,.dec_2000_total_pop_renter_occupied,.dec_2000_total_pop,.dec_2000_avg_household_size,.dec_2000_median_age,.dec_2000_median_income,.acs_2010_total_pop,.acs_2010_total_pop_occupied,.acs_2010_total_pop_renter_occupied,.acs_2010_total_vacant,.acs_2010_median_income,.acs_2010_median_age,.acs_2020_total_pop,.acs_2020_total_pop_occupied,.acs_2020_total_pop_renter_occupied,.acs_2020_total_vacant,.acs_2020_median_income,.acs_2020_median_age
1975,12035,0,0,21294,8258,3158,49370,82,49832,2.32,50.4,45502,91806,70840,14316,10973,25032,45.1,112854,82475,23751,8776,28000,46
1975,12053,0,0,55425,18381,7302,128693,162,130802,2.32,49.5,37509,170337,137358,17518,12704,22198,44.5,190700,147162,31142,11053,25692,43
1975,12057,0,0,391357,321122,34605,981521,7537,998948,2.51,35.1,48223,1200236,771899,240980,63569,26349,40.5,1451358,869679,387279,50795,31269,40.7
1975,12069,0,0,88413,39249,14417,206761,430,210528,2.34,45.1,42577,291671,223747,39168,24024,24426,43.8,356115,258216,68630,22791,27396,44.1
1975,12071,0,0,188599,105531,56806,435271,920,440888,2.31,45.2,46430,606165,433429,94022,118141,26406,43.5,756570,520664,172607,112336,29562,44.4
1975,12073,0,0,96521,86876,7453,225858,2183,239452,2.34,29.5,52962,270409,147256,54481,13186,23931,37.9,291863,151632,77033,14811,29023,36.6
1975,12081,0,0,112460,70400,25668,257997,652,264002,2.29,43.6,46576,318619,223533,57247,39519,25691,44.4,393847,275475,84287,44615,29953,45.1
1975,12083,1,1,106755,52258,15908,252035,467,258916,2.36,43.8,37473,326833,246773,42971,27298,21810,44.2,360210,255715,73656,25063,25344,44.9
1975,12085,0,0,55288,26105,10183,123375,183,126731,2.23,47.3,53244,144322,108305,20786,18287,26421,46.3,160420,122691,26469,15672,31854,48.5
1975,12086,0,0,776774,860760,75504,2207391,10827,2253362,2.84,35.6,40260,2445374,1438878,674886,153024,21000,41.6,2705528,1442465,981610,130110,25724,43.2
1975,12095,0,0,336286,317776,25063,877513,8963,896344,2.61,33.3,47159,1116094,673544,241380,68755,24892,38.8,1373784,767007,411919,77899,29380,39.7
1975,12097,0,0,60977,53947,11316,170093,1363,172493,2.79,34.6,42061,258531,168434,52450,30297,22618,40.2,363666,231046,99127,46283,25032,40.3
1975,12099,0,0,474175,285163,82253,1111856,4779,1131184,2.34,41.8,53701,1299356,917355,231069,133956,27205,43.4,1482057,977229,362649,124477,31481,44.5
1975,12101,0,0,147566,60074,26151,339393,598,344765,2.3,44.9,39568,456514,350485,57880,39619,23800,42.7,539885,378833,113903,37541,27754,43.7
1975,12103,0,0,414968,245993,66605,898571,5662,921482,2.17,43,46925,918263,635444,169382,97429,25989,44.8,970985,647060,220692,97559,31038,45.3
